"","State","County","Year","Forest","Agriculture","Urban","Suburban","Rural"
"1","DISTRICT OF COLUMBIA","DISTRICT OF COLUMBIA",1996,7.981,0.114,12.087,55.986,14.052
"2","VIRGINIA","WYTHE County",1996,54.381,37.616,0.092,1.999,4.896
"3","VIRGINIA","CAMPBELL County",1996,59.577,24.029,0.163,2.81,6.492
"4","VIRGINIA","TAZEWELL County",1996,71.27,20.833,0.127,2.239,5.06
"5","VIRGINIA","CARROLL County",1996,62.047,28.591,0.029,1.076,6.902
"6","VIRGINIA","CRAIG County",1996,84.849,11.077,0.002,0.306,3.251
"7","VIRGINIA","PULASKI County",1996,57.081,29.75,0.23,3.709,6.105
"8","VIRGINIA","ROANOKE County",1996,69.195,10.137,0.404,7.662,12.102
"9","VIRGINIA","MONTGOMERY County",1996,62.279,24.054,0.323,5.09,7.579
"10","VIRGINIA","ARLINGTON County",1996,2.946,0,10.857,63.512,22.071
"11","VIRGINIA","PITTSYLVANIA County",1996,61.517,26.182,0.038,1.808,5.525
"12","VIRGINIA","HIGHLAND County",1996,79.379,16.775,0.004,0.208,2.368
"13","VIRGINIA","ROCKBRIDGE County",1996,69.351,23.938,0.053,1.412,4.563
"14","VIRGINIA","SMYTH County",1996,68.761,24.211,0.141,1.766,4.736
"15","VIRGINIA","RAPPAHANNOCK County",1996,68.35,27.861,0.002,0.381,3.159
"16","VIRGINIA","BLAND County",1996,78.505,17.474,0.006,0.596,2.96
"17","VIRGINIA","GILES County",1996,79.999,13.129,0.086,1.561,4.186
"18","VIRGINIA","SPOTSYLVANIA County",1996,67.553,13.3,0.188,3.844,7.376
"19","VIRGINIA","WISE County",1996,81.06,3.717,0.087,2.863,5.115
"20","VIRGINIA","FREDERICK County",1996,55.513,32.462,0.233,4.345,6.589
"21","VIRGINIA","SHENANDOAH County",1996,60.27,31.023,0.088,2.575,5.47
"22","VIRGINIA","PATRICK County",1996,76.901,15.318,0.02,0.587,5.61
"23","VIRGINIA","NELSON County",1996,78.707,13.486,0.008,0.676,4.473
"24","VIRGINIA","ALBEMARLE County",1996,66.696,22.722,0.103,1.862,6.498
"25","VIRGINIA","GREENE County",1996,67.495,24.484,0.032,1.236,6.135
"26","VIRGINIA","MADISON County",1996,61.984,32.936,0.017,0.593,4.038
"27","VIRGINIA","PAGE County",1996,66.492,24.438,0.063,2.481,5.385
"28","VIRGINIA","STAFFORD County",1996,68.389,10.028,0.221,5.94,9.225
"29","VIRGINIA","ALLEGHANY County",1996,89.311,4.76,0.081,1.627,3.264
"30","VIRGINIA","WARREN County",1996,63.561,23.26,0.252,3.601,7.641
"31","VIRGINIA","SCOTT County",1996,74.336,17.384,0.03,1.087,4.933
"32","VIRGINIA","ROCKINGHAM County",1996,57.609,34.304,0.071,2.583,5.024
"33","VIRGINIA","APPOMATTOX County",1996,64.491,21.587,0.04,1.149,4.874
"34","VIRGINIA","LOUDOUN County",1996,37.471,48.281,0.436,5.616,7.155
"35","VIRGINIA","RUSSELL County",1996,63.576,28.963,0.038,1.512,4.539
"36","VIRGINIA","DICKENSON County",1996,88.658,2.752,0.008,0.85,4.416
"37","VIRGINIA","AUGUSTA County",1996,57.477,35.111,0.094,2.104,4.892
"38","VIRGINIA","ORANGE County",1996,56.76,33.845,0.063,1.1,5.462
"39","VIRGINIA","BUCHANAN County",1996,92.529,0.52,0.024,1.533,3.38
"40","VIRGINIA","HENRY County",1996,71.825,12.25,0.377,3.923,7.827
"41","VIRGINIA","FRANKLIN County",1996,65.653,22.77,0.058,1.362,6.317
"42","VIRGINIA","SOUTHAMPTON County",1996,59.965,29.579,0.015,1.447,2.906
"43","VIRGINIA","LEE County",1996,67.257,22.064,0.019,1.416,5.772
"44","VIRGINIA","BEDFORD County",1996,62.141,26.536,0.052,1.65,6.365
"45","VIRGINIA","FAUQUIER County",1996,48.737,43.611,0.046,1.526,4.92
"46","VIRGINIA","CULPEPER County",1996,48.529,42.767,0.094,1.565,4.942
"47","VIRGINIA","KING WILLIAM County",1996,62.667,20.907,0.065,1.169,3.204
"48","VIRGINIA","CLARKE County",1996,37.691,54.082,0.046,1.915,5.245
"49","VIRGINIA","FAIRFAX County",1996,32.849,3.337,2.225,32.829,25.774
"50","VIRGINIA","AMHERST County",1996,77.269,13.78,0.054,1.368,4.858
"51","VIRGINIA","BOTETOURT County",1996,74.261,17.218,0.071,1.81,4.881
"52","VIRGINIA","BATH County",1996,89.669,6.165,0.01,0.368,2.317
"53","VIRGINIA","GRAYSON County",1996,65.672,26.505,0.016,0.528,5.135
"54","VIRGINIA","LOUISA County",1996,69.008,16.384,0.062,1.124,5.2
"55","VIRGINIA","DINWIDDIE County",1996,67.761,14.24,0.065,2.278,4.222
"56","VIRGINIA","HALIFAX County",1996,67.945,21.217,0.075,1.443,4.232
"57","VIRGINIA","KING AND QUEEN County",1996,66.662,17.043,0.004,0.708,2.974
"58","VIRGINIA","PRINCE WILLIAM County",1996,52.732,18.729,0.853,12.189,11.971
"59","VIRGINIA","CHESAPEAKE",1996,51.171,23.442,1.278,13.06,6.193
"60","VIRGINIA","VIRGINIA BEACH",1996,23.135,14.587,2.521,24.394,7.607
"61","VIRGINIA","NORFOLK",1996,2.796,0.005,18.384,59.209,8.359
"62","VIRGINIA","CHARLOTTE County",1996,67.481,20.397,0.015,0.899,4.153
"63","VIRGINIA","FLOYD County",1996,62.878,29.976,0.009,0.559,5.93
"64","VIRGINIA","BUCKINGHAM County",1996,72.652,12.765,0.008,0.608,3.927
