,state,county,date,min.2,max.2,mean.2,min.1,max.1,mean.1,min,max,mean
773,VIRGINIA,ACCOMACK County,2000/8/4,0,6.360000134,0.031773649,9.279999733,13.35000038,10.65967906,24.46999931,35.72000122,30.18528708
1155,VIRGINIA,ACCOMACK County,2003/9/3,0,0,0,0,0,0,19.37999916,28.28000069,24.92540541
1156,VIRGINIA,ACCOMACK County,2003/9/3,0,0,0,0,0,0,19.37999916,28.28000069,24.92540541
1200,VIRGINIA,ACCOMACK County,2004/7/28,0,6.949999809,2.642314189,4.739999771,15.68999958,11.60557432,14.06000042,35.50999832,26.95070941
1463,VIRGINIA,ACCOMACK County,2006/9/1,6.800000191,12.14999962,9.679831101,12.09000015,28.73999977,18.89701013,160.5200043,199.1000061,178.5316724
1624,VIRGINIA,ACCOMACK County,2009/7/27,0,0,0,29.86000061,52.08000183,45.13244934,29.26000023,64.37000275,45.52768582
1625,VIRGINIA,ACCOMACK County,2009/7/27,0,0,0,29.86000061,52.08000183,45.13244934,29.26000023,64.37000275,45.52768582
1747,VIRGINIA,ACCOMACK County,2009/7/27,0,0,0,29.86000061,52.08000183,45.13244934,29.26000023,64.37000275,45.52768582
2010,VIRGINIA,ACCOMACK County,2011/6/19,0,0,0,0,11.35000038,5.143209459,1.570000052,10.52999973,7.888412177
2296,VIRGINIA,ACCOMACK County,2012/7/14,0,0,0,0,0,0,13.69999981,21.61000061,18.51577703
2286,VIRGINIA,ACCOMACK County,2012/8/25,0,0,0,0,8.93999958,2.35577703,132.2299957,190.7299957,166.1312842
2287,VIRGINIA,ACCOMACK County,2012/8/25,0,0,0,0,8.93999958,2.35577703,132.2299957,190.7299957,166.1312842
2347,VIRGINIA,ACCOMACK County,2013/6/7,0,0,0,0,8.5,2.784037165,14.90999985,42.56999969,27.83758446
2583,VIRGINIA,ACCOMACK County,2016/7/1,0,0,0,0,0,0,57.54000092,100.3600006,83.83874997
2589,VIRGINIA,ACCOMACK County,2016/7/1,0,0,0,0,0,0,57.54000092,100.3600006,83.83874997
3623,VIRGINIA,ACCOMACK County,2023/12/18,0,0,0,78.68000031,93.59999847,87.21672306,26.51000023,35.68000031,30.65518581
137,VIRGINIA,ALBEMARLE County,1996/1/19,0,0,0,15.39000034,40.38000107,22.94067376,0,31.40999985,19.04751681
167,VIRGINIA,ALBEMARLE County,1996/6/19,0,0,0,13.82999992,27.40999985,20.02095284,18.20000076,32.65000153,24.8484408
207,VIRGINIA,ALBEMARLE County,1996/9/6,24.35000038,44.09999847,34.362281,62.22000122,82.58000183,71.21018289,42.22000122,91.23000336,60.66425404
343,VIRGINIA,ALBEMARLE County,1998/1/8,7.860000134,26.54000092,12.04110685,21.04000092,49.68000031,32.51932629,1.25999999,28.13999939,8.036323391
366,VIRGINIA,ALBEMARLE County,1998/1/28,0,0,0,38.34999847,51.77999878,41.22795959,18.28000069,32.11000061,21.35493743
491,VIRGINIA,ALBEMARLE County,1998/2/4,0,0,0,25.10000038,37.22000122,27.9215207,26.87000084,45.13000107,32.72885462
466,VIRGINIA,ALBEMARLE County,1998/3/20,21.85000038,30.48999977,25.27161693,0.800000012,16.98999977,3.635101066,33.27999878,48.47000122,39.91879688
394,VIRGINIA,ALBEMARLE County,1998/5/8,0,0,0,43.86999893,63.09999847,54.26384989,2.579999924,12.26000023,6.070587109
619,VIRGINIA,ALBEMARLE County,1999/9/5,0,0,0,30.76000023,59.06000137,42.32520691,28.02000046,54.95000076,37.0617902
599,VIRGINIA,ALBEMARLE County,1999/9/9,0,22.21999931,5.440741102,0,0,0,14.46000004,33.13999939,21.16733399
499,VIRGINIA,ALBEMARLE County,1999/9/29,15.17000008,26.14999962,20.07528394,7.429999828,22.94000053,14.9200096,69.98999786,91.65000153,82.61138595
657,VIRGINIA,ALBEMARLE County,2000/6/27,0,9.569999695,0.805803658,4.809999943,13.89000034,8.754725694,29.12000084,42.81000137,36.11436962
709,VIRGINIA,ALBEMARLE County,2000/9/3,6.150000095,26.89999962,11.73001926,5.489999771,22.37000084,8.273099127,9.859999657,18.87000084,13.34389796
936,VIRGINIA,ALBEMARLE County,2002/5/27,0,0,0,0,0,0,0,12.14000034,4.716939368
961,VIRGINIA,ALBEMARLE County,2002/6/18,0,0,0,0,0,0,10.02999973,26.46999931,16.60243503
944,VIRGINIA,ALBEMARLE County,2002/7/23,0,0,0,0,0,0,27.87000084,35.99000168,31.77692976
1116,VIRGINIA,ALBEMARLE County,2003/7/3,0,13.60000038,2.058681425,56.59999847,85.05999756,71.7116747,7.880000114,27.62999916,17.72163618
1047,VIRGINIA,ALBEMARLE County,2003/8/10,5.619999886,17.54000092,10.47519732,14.85000038,22.63999939,19.29702599,9.729999542,17.32999992,14.5885082
1018,VIRGINIA,ALBEMARLE County,2003/9/18,0,0,0,0,0,0,109.7200012,142.0899963,129.2246392
1173,VIRGINIA,ALBEMARLE County,2003/11/19,0,14.90999985,1.317526468,0.109999999,18.27000046,3.782329159,30.95999908,52.40999985,36.40051973
1273,VIRGINIA,ALBEMARLE County,2004/7/12,2.029999971,8.079999924,4.547988454,0,15.46000004,5.395842146,20.69000053,28.64999962,25.02397498
1261,VIRGINIA,ALBEMARLE County,2004/9/8,3.00999999,26.70000076,9.392078932,16.35000038,56.52999878,31.60137634,48.36000061,86.83999634,65.27620795
1238,VIRGINIA,ALBEMARLE County,2004/9/17,0,15.05000019,4.314090482,5.679999828,30.46999931,12.86541868,42.90000153,55.41999817,49.33185758
1297,VIRGINIA,ALBEMARLE County,2004/9/30,40.88999939,58.68000031,51.42336861,0,27.76000023,13.77382099,0,0,0
1351,VIRGINIA,ALBEMARLE County,2006/6/23,0,0,0,0,0,0,29.48999977,39.56000137,35.71902793
