county,total_pop,median_income,area_km2,pop_density,state
District Of Columbia,701974,90842,176.92144969597942,3967.7156229856087,DC
Prince Edward County,22892,44253,917.9188344515699,24.93902417164946,VA
Buckingham County,17087,48603,1513.6296665956688,11.28875865549773,VA
Page County,23862,51878,812.5186770880548,29.36794029832992,VA
Prince William County,466834,107707,887.1560468044718,526.2140766345807,VA
Shenandoah County,43441,56114,1327.8090722160318,32.71630003815205,VA
Fauquier County,70353,105665,1689.1117698316716,41.65088495417389,VA
Accomack County,32560,46178,1455.2081349208931,22.374806200330923,VA
Middlesex County,10642,57060,361.3042826649472,29.454397610528126,VA
Westmoreland County,17873,53790,631.1716013038987,28.31718024555805,VA
Highland County,2202,51831,1080.7205702298622,2.037529460119047,VA
Halifax County,34295,43714,2153.8967242124468,15.922304730065301,VA
Rockingham County,81138,64496,2216.291506386862,36.609805057763495,VA
Montgomery County,98495,59126,1013.1544079163754,97.21617872892843,VA
Goochland County,23472,97146,752.9432964,31.17366222773973,VA
Isle Of Wight County,37107,77870,835.1879775684274,44.42951885877668,VA
Orange County,36501,74446,890.7719156577283,40.97681949598555,VA
Botetourt County,33440,72719,1419.2983276461289,23.56093806963009,VA
Amherst County,31782,57368,1243.5152128234602,25.558191546235662,VA
Amelia County,12970,63918,929.5618238579835,13.952810525469179,VA
King And Queen County,7011,65385,845.0282913765516,8.296763637,VA
Greensville County,11403,49756,768.9798483835445,14.828737091056407,VA
Loudoun County,405312,147111,1350.6148566638838,300.0944332873325,VA
Bedford County,78965,67136,2016.9858902577828,39.15000118811332,VA
Henry County,51032,38511,999.3911170438454,51.063091446070075,VA
Richmond County,8951,53298,505.3878951567852,17.711148378856905,VA
Northumberland County,12151,59437,548.1626306855818,22.166779199820425,VA
Essex County,10960,51125,687.1055130206042,15.950970836805588,VA
Lancaster County,10686,59736,371.0131867,28.802210762097165,VA
Pittsylvania County,60867,49520,2541.670014212104,23.94764059049902,VA
King George County,26679,96711,482.4261691530221,55.30172636952788,VA
Prince George County,38292,75123,730.0802427300983,52.449029242058366,VA
Rappahannock County,7360,82077,692.6991436010105,10.625103362679058,VA
Franklin County,56231,56779,1850.1702770915774,30.392337773577122,VA
Henrico County,330076,72295,634.2624234879319,520.4091993734205,VA
Bath County,4248,55481,1389.4152231736782,3.0574013650842202,VA
Patrick County,17660,46941,1264.4859089852744,13.966150096660082,VA
Spotsylvania County,134683,90913,1073.6802285103413,125.44051424590685,VA
Charlotte County,11953,40924,1239.0362192356083,9.647014198966756,VA
