state.x,county.x,date,n_episodes,n_events,total_property_damage,total_injuries,total_deaths,label,month,season,days_since_last_damaging_flood,days_since_prev_flood,min.2,max.2,mean.2,min.1,max.1,mean.1,min,max,mean,builtup,forest,agriculture,other,impervious,total_pop.x,median_income,area_km2,pop_density,total_population,exposed_population,pct_exposed,pct_age_65plus,pct_less_hs,pct_below_poverty,pct_hispanic,pct_nh_black,road_density_km_per_km2
DISTRICT OF COLUMBIA,District of Columbia,1996/6/20,1,1,30000,0,0,1,6,Summer,NA,NA,11.42000008,32.18999863,22.21045002,1.659999967,15.73999977,7.860550004,12.07999992,20.05999947,15.97224997,82.24000000000001,6.93,0.11,10.72,41.72,584400,58526,176.9840661,3301.992167562782,584400,300610,51.44,12.721867518550647,5.155792696989491,14.007281882040653,11.57006839969706,42.54351050992517,12.47883911
DISTRICT OF COLUMBIA,District of Columbia,1996/9/6,1,1,50000,0,0,1,9,Fall,78,78,21.93000031,38.43000031,30.95249995,1.460000038,6.360000134,3.422550007,33.70000076,46.45999908,38.91179989,82.24000000000001,6.93,0.11,10.72,41.72,584400,58526,176.9840661,3301.992167562782,584400,300610,51.44,12.721867518550647,5.155792696989491,14.007281882040653,11.57006839969706,42.54351050992517,12.47883911
DISTRICT OF COLUMBIA,District of Columbia,1998/6/23,1,1,10000,0,0,1,6,Summer,655,655,0,0,0,0,6.340000153,2.180200003,8.989999771,15.14000034,10.94869998,82.24000000000001,6.93,0.11,10.72,41.72,584400,58526,176.9840661,3301.992167562782,584400,300610,51.44,12.721867518550647,5.155792696989491,14.007281882040653,11.57006839969706,42.54351050992517,12.47883911
DISTRICT OF COLUMBIA,District of Columbia,2001/8/11,1,1,6000000,2,0,1,8,Summer,1145,1145,0,0,0,11.92000008,23.57999992,17.10215001,43.68999863,64.54000092,55.4959,82.24000000000001,6.93,0.11,10.72,41.72,584400,58526,176.9840661,3301.992167562782,584400,300610,51.44,12.721867518550647,5.155792696989491,14.007281882040653,11.57006839969706,42.54351050992517,12.47883911
MARYLAND,Allegany County,1996/1/19,1,1,7000000,0,0,1,1,Winter,NA,NA,0,5.5,1.972077928,31.48999977,37.61999893,33.7048052,15.64000034,23.200000760000002,18.44753243,11.04,77.37,9.08,2.5,2.86,74638,37747,1118.2643212645708,66.74450626806805,74638,4277,5.73,20.955697883769663,7.268085357575042,15.555916295268736,1.8594492488415335,7.043770845016381,3.13595785
MARYLAND,Allegany County,1996/6/11,1,1,50000,0,0,1,6,Summer,144,144,7.940000057,18.85000038,11.79129866,1.230000019,13.78999996,6.276233723,21.23999977,32.43999863,25.60454552,11.04,77.37,9.08,2.5,2.86,74638,37747,1118.2643212645708,66.74450626806805,74638,4277,5.73,20.955697883769663,7.268085357575042,15.555916295268736,1.8594492488415335,7.043770845016381,3.13595785
MARYLAND,Allegany County,1996/9/6,1,1,250000,0,0,1,9,Fall,87,87,1.789999962,12.40999985,5.637532449,0,0,0,133.0599976,146.2899933,138.2170135,11.04,77.37,9.08,2.5,2.86,74638,37747,1118.2643212645708,66.74450626806805,74638,4277,5.73,20.955697883769663,7.268085357575042,15.555916295268736,1.8594492488415335,7.043770845016381,3.13595785
MARYLAND,Allegany County,1998/5/4,1,1,100000,0,0,1,5,Spring,605,605,2.460000038,3.069999933,2.724025962,1.649999976,5.5399999619999996,3.478051936,14.07999992,20.05999947,16.43454543,11.04,77.37,9.08,2.5,2.86,74638,37747,1118.2643212645708,66.74450626806805,74638,4277,5.73,20.955697883769663,7.268085357575042,15.555916295268736,1.8594492488415335,7.043770845016381,3.13595785
MARYLAND,Allegany County,1999/5/7,1,1,15000,0,0,1,5,Spring,368,368,0,0,0,0,0.540000021,0.012467533,17.299999239999998,21.09000015,19.22272729,11.04,77.37,9.08,2.5,2.86,74638,37747,1118.2643212645708,66.74450626806805,74638,4277,5.73,20.955697883769663,7.268085357575042,15.555916295268736,1.8594492488415335,7.043770845016381,3.13595785
MARYLAND,Allegany County,2000/8/6,1,1,250000,0,0,1,8,Summer,457,457,0,0,0,0,0,0,60.79999924,77.12000275,67.97038958,11.04,77.37,9.08,2.5,2.86,74638,37747,1118.2643212645708,66.74450626806805,74638,4277,5.73,20.955697883769663,7.268085357575042,15.555916295268736,1.8594492488415335,7.043770845016381,3.13595785
MARYLAND,Allegany County,2000/9/11,1,1,2000000,0,0,1,9,Fall,36,36,0,0,0,4.110000134,9.380000114,6.449090902,23.94000053,29.93000031,27.49532462,11.04,77.37,9.08,2.5,2.86,74638,37747,1118.2643212645708,66.74450626806805,74638,4277,5.73,20.955697883769663,7.268085357575042,15.555916295268736,1.8594492488415335,7.043770845016381,3.13595785
MARYLAND,Allegany County,2001/6/7,1,1,150000,0,0,1,6,Summer,269,269,1.600000024,3.329999924,2.303896094,40.47999954,43.65000153,42.17974021,7.260000229,13.53999996,9.512857214,11.04,77.37,9.08,2.5,2.86,74638,37747,1118.2643212645708,66.74450626806805,74638,4277,5.73,20.955697883769663,7.268085357575042,15.555916295268736,1.8594492488415335,7.043770845016381,3.13595785
MARYLAND,Allegany County,2002/5/27,1,1,500000,0,0,1,5,Spring,354,354,0,0,0,0,0,0,3.9000000950000002,6.25,4.734675333,11.04,77.37,9.08,2.5,2.86,74638,37747,1118.2643212645708,66.74450626806805,74638,4277,5.73,20.955697883769663,7.268085357575042,15.555916295268736,1.8594492488415335,7.043770845016381,3.13595785
MARYLAND,Anne Arundel County,1996/1/19,1,1,5000,0,0,1,1,Winter,NA,NA,0,0,0,0,7.489999771,2.943789067,16.5,21.51000023,18.40302733,39.63,30.36,10.15,19.87,13,527020,83456,1175.8021063671024,448.2216838583012,527020,56331,10.69,15.557014634410494,4.330756630159611,5.388400774364737,10.020205233730897,17.41525309001313,5.765879314
