state,county,year,impervious
Virginia,Prince Edward County,2000,1.19
Virginia,Buckingham County,2000,0.58
Virginia,Page County,2000,1.5
Virginia,Prince William County,2000,7.8
Virginia,Shenandoah County,2000,1.62
Virginia,Fauquier County,2000,1.07
Virginia,Accomack County,2000,1.56
Virginia,Middlesex County,2000,1.68
Virginia,Westmoreland County,2000,1.4
Virginia,Highland County,2000,0.25
Virginia,Halifax County,2000,1.07
Maryland,Talbot County,2000,2.48
Maryland,Prince George's County,2000,14.94
Maryland,Queen Anne's County,2000,2.35
Maryland,Garrett County,2000,0.99
Virginia,Rockingham County,2000,1.6
Virginia,Montgomery County,2000,3.19
Virginia,Goochland County,2000,1.11
Virginia,Isle of Wight County,2000,1.77
Virginia,Orange County,2000,0.97
Virginia,Botetourt County,2000,1.19
Virginia,Amherst County,2000,0.96
Virginia,Amelia County,2000,0.71
Virginia,King and Queen County,2000,0.57
Virginia,Greensville County,2000,1.02
Virginia,Loudoun County,2000,4.3
Virginia,Bedford County,2000,1.25
Virginia,Henry County,2000,2.58
Maryland,Somerset County,2000,1.53
Maryland,St. Mary's County,2000,3.22
Virginia,Richmond County,2000,0.97
Virginia,Northumberland County,2000,1.24
Virginia,Essex County,2000,0.93
Virginia,Lancaster County,2000,1.45
Virginia,Pittsylvania County,2000,1.26
Virginia,King George County,2000,1.64
Maryland,Allegany County,2000,2.86
Maryland,Anne Arundel County,2000,13
Maryland,Kent County,2000,1.63
Maryland,Carroll County,2000,3.99
Maryland,Worcester County,2000,2.27
District of Columbia,District of Columbia,2000,41.72
Virginia,Prince George County,2000,2.36
Virginia,Rappahannock County,2000,0.36
Virginia,Franklin County,2000,1.13
Virginia,Henrico County,2000,14.49
Virginia,Bath County,2000,0.31
Virginia,Patrick County,2000,0.69
Virginia,Spotsylvania County,2000,2.55
Virginia,Charlotte County,2000,0.73
Virginia,Louisa County,2000,0.92
Virginia,King William County,2000,0.84
Virginia,Caroline County,2000,1.03
Virginia,Surry County,2000,0.68
Virginia,Lexington city,2000,25.63
Virginia,Augusta County,2000,1.38
Virginia,Campbell County,2000,1.88
Virginia,Dickenson County,2000,0.65
Virginia,Wise County,2000,1.67
Maryland,Charles County,2000,2.99
Virginia,Washington County,2000,1.48
Maryland,Harford County,2000,5.59
Maryland,Cecil County,2000,3.35
Virginia,Rockbridge County,2000,0.94
Virginia,Powhatan County,2000,0.79
Virginia,Carroll County,2000,0.99
Virginia,Fredericksburg city,2000,25.58
Virginia,Alleghany County,2000,0.98
Virginia,Floyd County,2000,0.7
Virginia,Russell County,2000,1.05
Virginia,Culpeper County,2000,1.19
Virginia,Albemarle County,2000,1.43
Virginia,Gloucester County,2000,1.73
Virginia,Charles City County,2000,0.56
Virginia,Emporia city,2000,19.21
Virginia,Lee County,2000,1.1
Virginia,Frederick County,2000,2.71
Maryland,Baltimore County,2000,12.5
Maryland,Washington County,2000,4.59
Maryland,Calvert County,2000,3.28
Virginia,Southampton County,2000,0.83
Virginia,Stafford County,2000,3.67
Virginia,New Kent County,2000,1.18
Virginia,Warren County,2000,2.45
Virginia,Hanover County,2000,3.02
Virginia,Mecklenburg County,2000,1.28
Virginia,Buchanan County,2000,0.88
Maryland,Caroline County,2000,1.99
Virginia,Appomattox County,2000,0.93
Virginia,James City County,2000,4.57
Virginia,Grayson County,2000,0.6
Virginia,Fairfax County,2000,19.21
Virginia,York County,2000,7.52
Virginia,Pulaski County,2000,2.26
Virginia,Tazewell County,2000,1.43
Maryland,Howard County,2000,10.27
Maryland,Montgomery County,2000,11.47
Maryland,Dorchester County,2000,1.42
Virginia,Greene County,2000,1.08
Virginia,Dinwiddie County,2000,1.34
Maryland,Frederick County,2000,4.01
Virginia,Harrisonburg city,2000,31.49
Virginia,Brunswick County,2000,0.88
Virginia,Nottoway County,2000,1.71
Virginia,Danville city,2000,19.99
Virginia,Galax city,2000,17.41
Virginia,Nelson County,2000,0.6
Virginia,Lunenburg County,2000,0.75
Virginia,Fairfax city,2000,36.58
Virginia,Franklin city,2000,15.54
Virginia,Salem city,2000,31.08
Virginia,Poquoson city,2000,7.55
Virginia,Buena Vista city,2000,15.84
Virginia,Cumberland County,2000,0.63
Maryland,Wicomico County,2000,4
Virginia,Giles County,2000,1.03
Virginia,Mathews County,2000,1.24
Virginia,Scott County,2000,0.85
Virginia,Arlington County,2000,41.39
Virginia,Alexandria city,2000,49.34
Virginia,Richmond city,2000,36.68
Virginia,Petersburg city,2000,24.83
Virginia,Norfolk city,2000,47.41
Virginia,Hopewell city,2000,36.67
Virginia,Roanoke city,2000,33.97
Virginia,Colonial Heights city,2000,33.21
Maryland,Baltimore city,2000,51.79
Virginia,Roanoke County,2000,4.46
Virginia,Chesterfield County,2000,7.28
Virginia,Sussex County,2000,0.87
Virginia,Hampton city,2000,31.22
Virginia,Portsmouth city,2000,36.67
Virginia,Winchester city,2000,37.74
Virginia,Wythe County,2000,1.33
Virginia,Manassas Park city,2000,27.44
Virginia,Chesapeake city,2000,8.1
Virginia,Charlottesville city,2000,31.6
Virginia,Williamsburg city,2000,16.11
Virginia,Norton city,2000,12.69
Virginia,Radford city,2000,18.21
Virginia,Covington city,2000,22.71
Virginia,Staunton city,2000,16.36
Virginia,Bland County,2000,0.48
Virginia,Bristol city,2000,26.74
Virginia,Craig County,2000,0.35
Virginia,Waynesboro city,2000,20.92
Virginia,Northampton County,2000,1.09
Virginia,Madison County,2000,0.56
Virginia,Clarke County,2000,1.26
Virginia,Lynchburg city,2000,17.48
Virginia,Virginia Beach city,2000,15.31
Virginia,Fluvanna County,2000,0.84
Virginia,Martinsville city,2000,21.88
Virginia,Manassas city,2000,37.98
Virginia,Newport News city,2000,30.15
Virginia,Smyth County,2000,1.21
Virginia,Falls Church city,2000,36.31
Virginia,Suffolk city,2000,2.73
