STATE_NAME,NAME_LSAD,county,year,impervious
Virginia,Prince Edward County,Prince Edward,2020,1.39
Virginia,Buckingham County,Buckingham,2020,0.67
Virginia,Page County,Page,2020,1.69
Virginia,Prince William County,Prince William,2020,13.09
Virginia,Shenandoah County,Shenandoah,2020,1.93
Virginia,Fauquier County,Fauquier,2020,1.5
Virginia,Accomack County,Accomack,2020,1.92
Virginia,Middlesex County,Middlesex,2020,2.15
Virginia,Westmoreland County,Westmoreland,2020,1.68
Virginia,Highland County,Highland,2020,0.27
Virginia,Halifax County,Halifax,2020,1.21
Maryland,Talbot County,Talbot,2020,3.12
Maryland,Prince George's County,Prince George's,2020,17.64
Maryland,Queen Anne's County,Queen Anne's,2020,3.06
Maryland,Garrett County,Garrett,2020,1.21
Virginia,Rockingham County,Rockingham,2020,2.15
Virginia,Montgomery County,Montgomery,2020,3.94
Virginia,Goochland County,Goochland,2020,1.85
Virginia,Isle of Wight County,Isle of Wight,2020,2.39
Virginia,Orange County,Orange,2020,1.33
Virginia,Botetourt County,Botetourt,2020,1.43
Virginia,Amherst County,Amherst,2020,1.17
Virginia,Amelia County,Amelia,2020,0.85
Virginia,King and Queen County,King and Queen,2020,0.66
Virginia,Greensville County,Greensville,2020,1.27
Virginia,Loudoun County,Loudoun,2020,9.6
Virginia,Bedford County,Bedford,2020,1.59
Virginia,Henry County,Henry,2020,2.8
Maryland,Somerset County,Somerset,2020,1.82
Maryland,St. Mary's County,St. Mary's,2020,4.28
Virginia,Richmond County,Richmond,2020,1.17
Virginia,Richmond city,Richmond,2020,1.17
Virginia,Northumberland County,Northumberland,2020,1.57
Virginia,Essex County,Essex,2020,1.16
Virginia,Lancaster County,Lancaster,2020,1.89
Virginia,Pittsylvania County,Pittsylvania,2020,1.51
Virginia,King George County,King George,2020,2.3
Maryland,Allegany County,Allegany,2020,3.02
Maryland,Anne Arundel County,Anne Arundel,2020,15.16
Maryland,Kent County,Kent,2020,1.93
Maryland,Carroll County,Carroll,2020,4.95
Maryland,Worcester County,Worcester,2020,2.73
District of Columbia,District of Columbia,District of Columbia,2020,42.91
Virginia,Prince George County,Prince George,2020,3.07
Virginia,Rappahannock County,Rappahannock,2020,0.4
Virginia,Franklin County,Franklin,2020,1.4
Virginia,Franklin city,Franklin,2020,1.4
Virginia,Henrico County,Henrico,2020,17.85
Virginia,Bath County,Bath,2020,0.32
Virginia,Patrick County,Patrick,2020,0.82
Virginia,Spotsylvania County,Spotsylvania,2020,3.97
Virginia,Charlotte County,Charlotte,2020,0.82
Virginia,Louisa County,Louisa,2020,1.29
Virginia,King William County,King William,2020,1.12
