BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
199601,19,500,199601,19,1200,2029491,5541340,MARYLAND,24,1996,January,Flash Flood,C,43,WASHINGTON,LWX,19-JAN-96 05:00:00,EST,19-JAN-96 12:00:00,0,0,0,0,1M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALL,NA,NA,ALL,NA,NA,NA,NA,"***Flood/Flash Flood***An unprecedented combination, in recent history, of unseasonably warm, humid air overriding a dense snow pack estimated between 12 and 18 inches (but up to 2 feet or more at higher elevations) caused nearly all of the pack to vanish in a 12-hour period.  The unseasonably warm air was drawn northward around the circulation of a deepening storm west of the Appalachians late on the 18th and early on the 19th.  The melting snow and heavy rains caused widespread, and in some cases, catastrophic flooding and flash flooding on the 19th.Strong low-level southeast flow developed by late afternoon on the 18th.  Initially, colder temperatures in sheltered valleys slowed the rate of snow melt while the warm moist air mass attacked the snow pack at higher elevations.  By mid-evening, however, even lower elevations were warming rapidly.  Flash flooding began at around the same time as the onset of heavy pre-frontal rains.  These heavier showers fell repeatedly over the region between 0400 and 0800EST, causing acute and widespread flooding and flash flooding.  Some areas received between 2 and 4 inches of rain during this period.Some of the most pronounced damage occurred in Allegany Co, where an estimated $7 million in damage was reported from the initial floods alone.  Two permanent homes were destroyed, 20 had major damage, and 205 had minor damage.  Two mobile homes were destroyed, and 8 others had major damage; several apartments were flooded, and 32 businesses were damaged.  Washington Co estimated over $1 million dollars in damage from flood waters.  Five single-family homes had major damage; 2 had minor damage.  Eleven mobile homes in Funkstown sustained major damage, 13 had minor damage; 2 apartments had major damage and 3 minor damage.  An oil spill also occurred in Williamsport.",NA,PDC
199601,19,700,199601,19,1300,2029492,5541341,MARYLAND,24,1996,January,Flash Flood,C,21,FREDERICK,LWX,19-JAN-96 07:00:00,EST,19-JAN-96 13:00:00,0,0,0,0,.5M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALL,NA,NA,ALL,NA,NA,NA,NA,NA,NA,PDC
199601,19,900,199601,19,1300,2029493,5541345,MARYLAND,24,1996,January,Flash Flood,C,5,BALTIMORE,LWX,19-JAN-96 09:00:00,EST,19-JAN-96 13:00:00,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALL,NA,NA,ALL,NA,NA,NA,NA,NA,NA,PDC
199601,19,900,199601,19,1500,1001793,5541346,MARYLAND,24,1996,January,Flash Flood,C,25,HARFORD,LWX,19-JAN-96 09:00:00,EST,19-JAN-96 15:00:00,0,0,0,0,5K,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALL,NA,NA,ALL,NA,NA,NA,NA,NA,NA,PDC
199601,27,1100,199601,27,1800,2032691,5543270,MARYLAND,24,1996,January,Flash Flood,C,15,CECIL,PHI,27-JAN-96 11:00:00,EST,27-JAN-96 18:00:00,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NORTHERN,NA,NA,NORTHERN,NA,NA,NA,NA,"Heavy rains once again produced small stream flooding, especially in the northern half of the county.  The Big Elk Creek flooded in Elkton forcing the closure of Delaware Avenue and Howard Street.  The creek also caused further damage to Meadow Park.",NA,PDC
199601,19,900,199601,19,1300,2403637,5541343,MARYLAND,24,1996,January,Flash Flood,C,31,MONTGOMERY,LWX,19-JAN-96 09:00:00,EST,19-JAN-96 13:00:00,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALL,NA,NA,ALL,NA,NA,NA,NA,*** Continuation of this event (several flood/flash flood counties grouped together) continues after the following ***,NA,PDC
199601,19,900,199601,19,1300,2403638,5541344,MARYLAND,24,1996,January,Flash Flood,C,27,HOWARD,LWX,19-JAN-96 09:00:00,EST,19-JAN-96 13:00:00,0,0,0,0,5K,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALL,NA,NA,ALL,NA,NA,NA,NA,NA,NA,PDC
199601,19,1100,199601,19,1500,2403641,5541349,MARYLAND,24,1996,January,Flash Flood,C,510,BALTIMORE CITY (C),LWX,19-JAN-96 11:00:00,EST,19-JAN-96 15:00:00,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALL,NA,NA,ALL,NA,NA,NA,NA,"*** Flood/Flash Flood Summary ***A waterlogged snow pack, ranging (roughly) in depth from 3 to 12 inches, was eaten away when subtropical moisture fed into the region ahead of a strong cold front.  The warm moist air mass contained temperatures in the upper 50s and lower 60s, along with relative humidity near 100 percent.  A deepening storm moving north through the Ohio Valley drew the subtropical air into the region.  Minor flash flooding began during the pre-dawn hours, but more significant flooding occurred with the passage of an intense and unusual squall line, which moved through between 0900 and 1200EST.  The squall line dumped rainfall amounts of 1.5 to 2.5 inches in less than 3 hours at any one location.  Streams quickly overflowed their banks, and water ponded quickly from clogged storm drains and saturated ground.Flash flooding, due to streams and creeks out of their banks, began in northern Montgomery, western Carroll, and much of Frederick Co around 0700EST.  The onset of heavy rains, between 0900 and 1000EST over the piedmont, and 1000 and 1200EST elsewhere, produced more substantial flash flooding.  In Frederick Co, flash floods caused mud slides, knocked down trees, and closed roads.  Numerous rescues were undertaken, mostly due to stranded vehicles.  At the height of the storm, 52 roads were closed.  Three hundred seventy-eight homes sustained flood-related damage.  Fortunately, there were no fatalities, but there were a number of minor injuries.  Rapid flooding of the Monocacy River (Frederick Co) caused problems, and there was flooding reported at Point of Rocks.  In Carroll Co, 75 acres were reported under water, and several homes were evacuated in Detour, a result of a flood-related HAZMAT incident.  Another oil spill also occurred at Owings Mills in Baltimore Co.In Montgomery Co, an elderly woman was in fair condition after her car was submerged along White's Ferry Road near Poolesville.  Numerous creeks and streams were out of their banks countywide, including Rock Creek near Kensington.  The flooded creek left large deposits of sediment in its wake.  In Prince George's Co, over a dozen cars were towed out of high water along federal highway 1, which was temporarily closed.Farther east, in the Baltimore vicinity, several water rescues were reported.  Just south of Baltimore City, Interstate 695 was closed briefly near Arbutus.  An automobile was swept away in Harford Co.",NA,PDC
199601,19,700,199601,19,1300,2403636,5541342,MARYLAND,24,1996,January,Flash Flood,C,13,CARROLL,LWX,19-JAN-96 07:00:00,EST,19-JAN-96 13:00:00,0,0,0,0,.3M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALL,NA,NA,ALL,NA,NA,NA,NA,NA,NA,PDC
199601,19,1200,199601,19,1900,2032660,5543065,MARYLAND,24,1996,January,Flash Flood,C,15,CECIL,PHI,19-JAN-96 12:00:00,EST,19-JAN-96 19:00:00,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COUNTYWIDE,NA,NA,COUNTYWIDE,NA,NA,NA,NA,"The combination of the melting snow from the previous week's storms, unseasonably warm temperatures and an additional one to two inches of rain caused the flash flooding of several streams throughout the county.  Hardest hit were Elkton (Farr Creek overflowed.), North East (Little North East Creek overflowed.) and Rising Sun.  Dozens of people were rescued from stalled automobiles.  Maryland State Route 7 in North East was closed and four major roads in Elkton were closed due to flooding.  In Rising Sun a house's wall collapsed.",NA,PDC
