"","State","County","Year","Median.Income"
"1","va","MADISON County",1997,34947
"2","va","MADISON County",1998,36986
"3","va","MADISON County",1999,38440
"4","va","MADISON County",2001,40397
"5","va","MADISON County",2003,41005
"6","va","MADISON County",2004,42948
"7","va","MADISON County",2010,49389
"8","va","MADISON County",2011,52116
"9","va","MADISON County",2012,51094
"10","va","MADISON County",2018,60450
"11","va","MADISON County",2021,67527
"12","va","NELSON County",1997,31817
"13","va","NELSON County",1998,33943
"14","va","NELSON County",1999,35492
"15","va","NELSON County",2000,37565
"16","va","NELSON County",2001,37062
"17","va","NELSON County",2002,37513
"18","va","NELSON County",2003,38719
"19","va","NELSON County",2004,40000
"20","va","NELSON County",2006,42761
"21","va","NELSON County",2008,45551
"22","va","NELSON County",2010,47368
"23","va","NELSON County",2011,46055
"24","va","NELSON County",2013,45990
"25","va","NELSON County",2016,54188
"26","va","NELSON County",2020,60757
"27","va","NELSON County",2022,66612
"28","va","NELSON County",2023,77049
"29","va","ORANGE County",1997,39156
"30","va","ORANGE County",1998,41458
"31","va","ORANGE County",2001,42999
"32","va","ORANGE County",2003,46169
"33","va","ORANGE County",2004,49082
"34","va","ORANGE County",2010,53837
"35","va","ORANGE County",2011,56967
"36","va","ORANGE County",2018,63681
"37","va","ORANGE County",2022,81390
"38","va","GREENE County",1997,37714
"39","va","GREENE County",1998,40095
"40","va","GREENE County",1999,44033
"41","va","GREENE County",2001,46888
"42","va","GREENE County",2002,47956
"43","va","GREENE County",2003,49974
"44","va","GREENE County",2004,51221
"45","va","GREENE County",2006,52872
"46","va","GREENE County",2010,57592
"47","va","GREENE County",2011,60710
"48","va","GREENE County",2013,59730
"49","va","GREENE County",2015,60406
"50","va","GREENE County",2017,65394
"51","va","GREENE County",2018,67498
"52","va","BATH County",1997,32768
"53","va","BATH County",1998,33910
"54","va","BATH County",2000,36251
"55","va","BATH County",2001,35533
"56","va","BATH County",2003,36523
"57","va","BATH County",2004,38145
"58","va","BATH County",2006,40114
"59","va","BATH County",2009,42619
"60","va","BATH County",2010,41266
"61","va","BATH County",2011,42423
"62","va","BATH County",2016,47059
"63","va","BATH County",2018,50564
"64","va","BATH County",2019,54385
"65","va","BATH County",2020,56165
"66","va","BATH County",2021,56200
"67","va","DICKENSON County",1997,22941
"68","va","DICKENSON County",1998,23653
"69","va","DICKENSON County",2001,24138
"70","va","DICKENSON County",2005,26224
"71","va","DICKENSON County",2006,28505
"72","va","DICKENSON County",2009,31877
"73","va","DICKENSON County",2010,32955
"74","va","DICKENSON County",2011,33494
"75","va","DICKENSON County",2012,35147
"76","va","DICKENSON County",2013,33386
"77","va","DICKENSON County",2017,33383
"78","va","DICKENSON County",2020,38394
"79","va","DICKENSON County",2022,43271
"80","va","ALLEGHANY County",1997,36774
"81","va","ALLEGHANY County",1998,39135
"82","va","ALLEGHANY County",2001,35731
"83","va","ALLEGHANY County",2003,37349
"84","va","ALLEGHANY County",2006,40682
"85","va","ALLEGHANY County",2009,43230
"86","va","ALLEGHANY County",2010,43110
"87","va","ALLEGHANY County",2013,44983
"88","va","ALLEGHANY County",2016,47037
"89","va","ALLEGHANY County",2020,52281
"90","va","ROCKBRIDGE County",1997,33687
"91","va","ROCKBRIDGE County",1998,35572
"92","va","ROCKBRIDGE County",2000,37307
"93","va","ROCKBRIDGE County",2002,36970
"94","va","ROCKBRIDGE County",2003,37877
"95","va","ROCKBRIDGE County",2004,40081
"96","va","ROCKBRIDGE County",2006,41931
"97","va","ROCKBRIDGE County",2008,45236
"98","va","ROCKBRIDGE County",2010,44502
"99","va","ROCKBRIDGE County",2011,42567
"100","va","ROCKBRIDGE County",2012,46909
"101","va","ROCKBRIDGE County",2013,46882
"102","va","ROCKBRIDGE County",2016,50570
"103","va","ROCKBRIDGE County",2020,55684
"104","va","ROCKBRIDGE County",2022,64393
"105","va","COVINGTON City",1997,27748
"106","va","COVINGTON City",2003,31688
"107","va","COVINGTON City",2016,37904
"108","va","COVINGTON City",2020,40683
"109","va","WASHINGTON County",1997,31387
"110","va","WASHINGTON County",2001,33867
"111","va","WASHINGTON County",2002,34422
"112","va","WASHINGTON County",2003,35833
"113","va","WASHINGTON County",2004,36725
"114","va","WASHINGTON County",2009,40638
"115","va","WASHINGTON County",2010,39690
"116","va","WASHINGTON County",2013,42242
"117","va","WASHINGTON County",2014,43353
"118","va","WASHINGTON County",2015,45864
"119","va","WASHINGTON County",2018,45510
"120","va","WASHINGTON County",2020,53785
"121","va","SCOTT County",1997,26888
"122","va","SCOTT County",2001,28123
"123","va","SCOTT County",2002,29074
"124","va","SCOTT County",2003,30199
"125","va","SCOTT County",2009,33893
"126","va","SCOTT County",2010,33797
"127","va","SCOTT County",2013,38336
"128","va","SCOTT County",2017,39640
"129","va","SCOTT County",2019,41288
"130","va","SCOTT County",2022,43743
"131","va","SHENANDOAH County",1997,34377
"132","va","SHENANDOAH County",1998,36486
"133","va","SHENANDOAH County",1999,37976
"134","va","SHENANDOAH County",2000,40325
"135","va","SHENANDOAH County",2001,39762
"136","va","SHENANDOAH County",2002,40543
"137","va","SHENANDOAH County",2003,41872
"138","va","SHENANDOAH County",2004,43893
"139","va","SHENANDOAH County",2006,47198
"140","va","SHENANDOAH County",2009,47748
"141","va","SHENANDOAH County",2010,46016
"142","va","SHENANDOAH County",2011,47669
"143","va","SHENANDOAH County",2012,48677
"144","va","SHENANDOAH County",2015,54281
"145","va","SHENANDOAH County",2016,53810
"146","va","SHENANDOAH County",2019,59087
"147","va","SHENANDOAH County",2021,65308
"148","va","PULASKI County",1997,31806
"149","va","PULASKI County",1998,33995
"150","va","PULASKI County",2000,35206
"151","va","PULASKI County",2001,34029
"152","va","PULASKI County",2002,34463
"153","va","PULASKI County",2007,40427
"154","va","PULASKI County",2009,40239
"155","va","PULASKI County",2010,41184
"156","va","PULASKI County",2011,39054
"157","va","PULASKI County",2013,43555
"158","va","PULASKI County",2018,50834
"159","va","PULASKI County",2019,54086
"160","va","PULASKI County",2020,50530
"161","va","ROANOKE County",1997,47838
"162","va","ROANOKE County",1998,48926
"163","va","ROANOKE County",1999,48943
"164","va","ROANOKE County",2000,51055
"165","va","ROANOKE County",2003,50351
"166","va","ROANOKE County",2004,52577
"167","va","ROANOKE County",2006,53843
