"","State","County","Year","Median.Income"
"1997","va","MADISON County",1997,62206
"1998","va","MADISON County",1998,64726
"1999","va","MADISON County",1999,65348
"2001","va","MADISON County",2001,65443
"2003","va","MADISON County",2003,63968
"2004","va","MADISON County",2004,64851
"2010","va","MADISON County",2010,64206
"2011","va","MADISON County",2011,66187
"2012","va","MADISON County",2012,63357
"2018","va","MADISON County",2018,68308
"2021","va","MADISON County",2021,70903
"19971","va","NELSON County",1997,56634
"19981","va","NELSON County",1998,59400
"19991","va","NELSON County",1999,60336
"2000","va","NELSON County",2000,62358
"20011","va","NELSON County",2001,60040
"2002","va","NELSON County",2002,60021
"20031","va","NELSON County",2003,60402
"20041","va","NELSON County",2004,60400
"2006","va","NELSON County",2006,60721
"2008","va","NELSON County",2008,61038
"20101","va","NELSON County",2010,61578
"20111","va","NELSON County",2011,58490
"2013","va","NELSON County",2013,56568
"2016","va","NELSON County",2016,63942
"2020","va","NELSON County",2020,66833
"2022","va","NELSON County",2022,67944
"2023","va","NELSON County",2023,77049
"19972","va","ORANGE County",1997,69698
"19982","va","ORANGE County",1998,72552
"20012","va","ORANGE County",2001,69658
"20032","va","ORANGE County",2003,72024
"20042","va","ORANGE County",2004,74114
"20102","va","ORANGE County",2010,69988
"20112","va","ORANGE County",2011,72348
"20181","va","ORANGE County",2018,71960
"20221","va","ORANGE County",2022,83018
"19973","va","GREENE County",1997,67131
"19983","va","GREENE County",1998,70166
"19992","va","GREENE County",1999,74856
"20013","va","GREENE County",2001,75959
"20021","va","GREENE County",2002,76730
"20033","va","GREENE County",2003,77959
"20043","va","GREENE County",2004,77344
"20061","va","GREENE County",2006,75078
"20103","va","GREENE County",2010,74870
"20113","va","GREENE County",2011,77102
"20131","va","GREENE County",2013,73468
"2015","va","GREENE County",2015,72487
"2017","va","GREENE County",2017,75203
"20182","va","GREENE County",2018,76273
"19974","va","BATH County",1997,58327
"19984","va","BATH County",1998,59342
"20001","va","BATH County",2000,60177
"20014","va","BATH County",2001,57563
"20034","va","BATH County",2003,56976
"20044","va","BATH County",2004,57599
"20062","va","BATH County",2006,56962
"2009","va","BATH County",2009,56683
"20104","va","BATH County",2010,53646
"20114","va","BATH County",2011,53877
"20161","va","BATH County",2016,55530
"20183","va","BATH County",2018,57137
"2019","va","BATH County",2019,60367
"20201","va","BATH County",2020,61782
"20211","va","BATH County",2021,59010
"19975","va","DICKENSON County",1997,40835
"19985","va","DICKENSON County",1998,41393
"20015","va","DICKENSON County",2001,39104
"2005","va","DICKENSON County",2005,38287
"20063","va","DICKENSON County",2006,40477
"20091","va","DICKENSON County",2009,42396
"20105","va","DICKENSON County",2010,42842
"20115","va","DICKENSON County",2011,42537
"20121","va","DICKENSON County",2012,43582
"20132","va","DICKENSON County",2013,41065
"20171","va","DICKENSON County",2017,38390
"20202","va","DICKENSON County",2020,42233
"20222","va","DICKENSON County",2022,44136
"19976","va","ALLEGHANY County",1997,65458
"19986","va","ALLEGHANY County",1998,68486
"20016","va","ALLEGHANY County",2001,57884
"20035","va","ALLEGHANY County",2003,58264
"20064","va","ALLEGHANY County",2006,57768
"20092","va","ALLEGHANY County",2009,57496
"20106","va","ALLEGHANY County",2010,56043
"20133","va","ALLEGHANY County",2013,55329
"20162","va","ALLEGHANY County",2016,55504
"20203","va","ALLEGHANY County",2020,57509
"19977","va","ROCKBRIDGE County",1997,59963
"19987","va","ROCKBRIDGE County",1998,62251
"20002","va","ROCKBRIDGE County",2000,61930
"20022","va","ROCKBRIDGE County",2002,59152
"20036","va","ROCKBRIDGE County",2003,59088
"20045","va","ROCKBRIDGE County",2004,60522
"20065","va","ROCKBRIDGE County",2006,59542
"20081","va","ROCKBRIDGE County",2008,60616
"20107","va","ROCKBRIDGE County",2010,57853
"20116","va","ROCKBRIDGE County",2011,54060
"20122","va","ROCKBRIDGE County",2012,58167
"20134","va","ROCKBRIDGE County",2013,57665
"20163","va","ROCKBRIDGE County",2016,59673
"20204","va","ROCKBRIDGE County",2020,61252
"20223","va","ROCKBRIDGE County",2022,65681
"19978","va","COVINGTON City",1997,49391
"20037","va","COVINGTON City",2003,49433
"20164","va","COVINGTON City",2016,44727
"20205","va","COVINGTON City",2020,44751
"19979","va","WASHINGTON County",1997,55869
"20017","va","WASHINGTON County",2001,54865
"20023","va","WASHINGTON County",2002,55075
"20038","va","WASHINGTON County",2003,55899
"20046","va","WASHINGTON County",2004,55455
"20093","va","WASHINGTON County",2009,54049
"20108","va","WASHINGTON County",2010,51597
"20135","va","WASHINGTON County",2013,51958
"2014","va","WASHINGTON County",2014,52457
"20151","va","WASHINGTON County",2015,55037
"20184","va","WASHINGTON County",2018,51426
"20206","va","WASHINGTON County",2020,59164
"199710","va","SCOTT County",1997,47861
"20018","va","SCOTT County",2001,45559
"20024","va","SCOTT County",2002,46518
"20039","va","SCOTT County",2003,47110
