Year,State,County,Median_Household_Income
2009,Maryland,"Allegany County, Maryland",36810.0
2009,Maryland,"Anne Arundel County, Maryland",81824.0
2009,Maryland,"Baltimore County, Maryland",63348.0
2009,Maryland,"Calvert County, Maryland",90621.0
2009,Maryland,"Caroline County, Maryland",55844.0
2009,Maryland,"Carroll County, Maryland",80743.0
2009,Maryland,"Cecil County, Maryland",65079.0
2009,Maryland,"Charles County, Maryland",86141.0
2009,Maryland,"Dorchester County, Maryland",45095.0
2009,Maryland,"Frederick County, Maryland",80970.0
2009,Maryland,"Garrett County, Maryland",43802.0
2009,Maryland,"Harford County, Maryland",75872.0
2009,Maryland,"Howard County, Maryland",101003.0
2009,Maryland,"Kent County, Maryland",48284.0
2009,Maryland,"Montgomery County, Maryland",92213.0
2009,Maryland,"Prince George's County, Maryland",70753.0
2009,Maryland,"Queen Anne's County, Maryland",78615.0
2009,Maryland,"St. Mary's County, Maryland",75427.0
2009,Maryland,"Somerset County, Maryland",41615.0
2009,Maryland,"Talbot County, Maryland",61591.0
2009,Maryland,"Washington County, Maryland",51962.0
2009,Maryland,"Wicomico County, Maryland",51352.0
2009,Maryland,"Worcester County, Maryland",52600.0
2009,Maryland,"Baltimore city, Maryland",38738.0
2009,Virginia,"Craig County, Virginia",48845.0
2009,Virginia,"Culpeper County, Virginia",64359.0
2009,Virginia,"Cumberland County, Virginia",38430.0
2009,Virginia,"Dickenson County, Virginia",28296.0
2009,Virginia,"Dinwiddie County, Virginia",51556.0
2009,Virginia,"Essex County, Virginia",46678.0
2009,Virginia,"Fairfax County, Virginia",104259.0
2009,Virginia,"Fauquier County, Virginia",82872.0
2009,Virginia,"Floyd County, Virginia",40539.0
2009,Virginia,"Fluvanna County, Virginia",62163.0
2009,Virginia,"Franklin County, Virginia",45578.0
2009,Virginia,"Frederick County, Virginia",62291.0
2009,Virginia,"Giles County, Virginia",39963.0
2009,Virginia,"Gloucester County, Virginia",56830.0
2009,Virginia,"Goochland County, Virginia",75581.0
2009,Virginia,"Grayson County, Virginia",31707.0
2009,Virginia,"Greene County, Virginia",54153.0
2009,Virginia,"Greensville County, Virginia",40917.0
2009,Virginia,"Halifax County, Virginia",34318.0
2009,Virginia,"Hanover County, Virginia",76926.0
2009,Virginia,"Henrico County, Virginia",59807.0
2009,Virginia,"Henry County, Virginia",34437.0
2009,Virginia,"Highland County, Virginia",43537.0
2009,Virginia,"Isle of Wight County, Virginia",62573.0
2009,Virginia,"James City County, Virginia",71988.0
2009,Virginia,"King and Queen County, Virginia",43766.0
2009,Virginia,"King George County, Virginia",73941.0
2009,Virginia,"King William County, Virginia",64682.0
2009,Virginia,"Lancaster County, Virginia",44485.0
2009,Virginia,"Lee County, Virginia",29889.0
2009,Virginia,"Loudoun County, Virginia",112021.0
2009,Virginia,"Louisa County, Virginia",51775.0
2009,Virginia,"Lunenburg County, Virginia",35963.0
2009,Virginia,"Madison County, Virginia",52964.0
2009,Virginia,"Mathews County, Virginia",49318.0
2009,Virginia,"Mecklenburg County, Virginia",34741.0
2009,Virginia,"Middlesex County, Virginia",50181.0
2009,Virginia,"Montgomery County, Virginia",41815.0
2009,Virginia,"Nelson County, Virginia",44326.0
2009,Virginia,"New Kent County, Virginia",69478.0
2009,Virginia,"Northampton County, Virginia",36450.0
2009,Virginia,"Northumberland County, Virginia",50522.0
2009,Virginia,"Nottoway County, Virginia",40776.0
2009,Virginia,"Orange County, Virginia",55416.0
2009,Virginia,"Page County, Virginia",42359.0
2009,Virginia,"Patrick County, Virginia",36895.0
2009,Virginia,"Pittsylvania County, Virginia",39765.0
2009,Virginia,"Powhatan County, Virginia",75118.0
2009,Virginia,"Prince Edward County, Virginia",36242.0
2009,Virginia,"Prince George County, Virginia",66049.0
2009,Virginia,"Prince William County, Virginia",88850.0
2009,Virginia,"Pulaski County, Virginia",38234.0
2009,Virginia,"Rappahannock County, Virginia",58500.0
2009,Virginia,"Richmond County, Virginia",42212.0
2009,Virginia,"Roanoke County, Virginia",57800.0
2009,Virginia,"Rockbridge County, Virginia",43311.0
2009,Virginia,"Rockingham County, Virginia",51232.0
2009,Virginia,"Russell County, Virginia",31770.0
2009,Virginia,"Scott County, Virginia",33325.0
2009,Virginia,"Shenandoah County, Virginia",50436.0
2009,Virginia,"Smyth County, Virginia",36103.0
2009,Virginia,"Southampton County, Virginia",47285.0
2009,Virginia,"Spotsylvania County, Virginia",77225.0
2009,Virginia,"Stafford County, Virginia",90586.0
2009,Virginia,"Surry County, Virginia",53320.0
2009,Virginia,"Sussex County, Virginia",37492.0
2009,Virginia,"Tazewell County, Virginia",35830.0
2009,Virginia,"Warren County, Virginia",59630.0
2009,Virginia,"Washington County, Virginia",40431.0
2009,Virginia,"Accomack County, Virginia",40343.0
2009,Virginia,"Albemarle County, Virginia",64306.0
2009,Virginia,"Alleghany County, Virginia",42005.0
2009,Virginia,"Amelia County, Virginia",48897.0
2009,Virginia,"Amherst County, Virginia",45947.0
2009,Virginia,"Appomattox County, Virginia",47412.0
2009,Virginia,"Arlington County, Virginia",93806.0
2009,Virginia,"Augusta County, Virginia",49364.0
2009,Virginia,"Bath County, Virginia",46250.0
2009,Virginia,"Bedford County, Virginia",54527.0
2009,Virginia,"Bland County, Virginia",42231.0
2009,Virginia,"Botetourt County, Virginia",59823.0
2009,Virginia,"Brunswick County, Virginia",36202.0
2009,Virginia,"Buchanan County, Virginia",27538.0
2009,Virginia,"Buckingham County, Virginia",38128.0
2009,Virginia,"Campbell County, Virginia",43324.0
2009,Virginia,"Caroline County, Virginia",56829.0
2009,Virginia,"Carroll County, Virginia",34794.0
2009,Virginia,"Charles City County, Virginia",49747.0
2009,Virginia,"Charlotte County, Virginia",37591.0
2009,Virginia,"Chesterfield County, Virginia",71661.0
2009,Virginia,"Clarke County, Virginia",68768.0
2009,Virginia,"Westmoreland County, Virginia",50151.0
2009,Virginia,"Wise County, Virginia",32324.0
2009,Virginia,"Wythe County, Virginia",38490.0
2009,Virginia,"York County, Virginia",79189.0
2009,Virginia,"Alexandria city, Virginia",80186.0
2009,Virginia,"Bedford city, Virginia",31796.0
2009,Virginia,"Bristol city, Virginia",31797.0
2009,Virginia,"Buena Vista city, Virginia",40913.0
2009,Virginia,"Charlottesville city, Virginia",38369.0
2009,Virginia,"Chesapeake city, Virginia",66932.0
2009,Virginia,"Colonial Heights city, Virginia",49734.0
2009,Virginia,"Covington city, Virginia",35758.0
2009,Virginia,"Danville city, Virginia",29482.0
2009,Virginia,"Emporia city, Virginia",33412.0
2009,Virginia,"Fairfax city, Virginia",96232.0
2009,Virginia,"Falls Church city, Virginia",113313.0
2009,Virginia,"Franklin city, Virginia",32060.0
2009,Virginia,"Fredericksburg city, Virginia",43154.0
2009,Virginia,"Galax city, Virginia",22105.0
2009,Virginia,"Hampton city, Virginia",48122.0
2009,Virginia,"Harrisonburg city, Virginia",33587.0
2009,Virginia,"Hopewell city, Virginia",38892.0
2009,Virginia,"Lexington city, Virginia",32847.0
2009,Virginia,"Lynchburg city, Virginia",37281.0
2009,Virginia,"Manassas city, Virginia",72150.0
2009,Virginia,"Manassas Park city, Virginia",69087.0
2009,Virginia,"Martinsville city, Virginia",31729.0
2009,Virginia,"Newport News city, Virginia",48124.0
2009,Virginia,"Norfolk city, Virginia",41739.0
2009,Virginia,"Norton city, Virginia",32500.0
2009,Virginia,"Petersburg city, Virginia",35874.0
2009,Virginia,"Poquoson city, Virginia",84688.0
2009,Virginia,"Portsmouth city, Virginia",44410.0
2009,Virginia,"Radford city, Virginia",29589.0
2009,Virginia,"Richmond city, Virginia",37735.0
2009,Virginia,"Roanoke city, Virginia",35811.0
2009,Virginia,"Salem city, Virginia",47746.0
2009,Virginia,"Staunton city, Virginia",42713.0
2009,Virginia,"Suffolk city, Virginia",63657.0
2009,Virginia,"Virginia Beach city, Virginia",63370.0
2009,Virginia,"Waynesboro city, Virginia",40809.0
2009,Virginia,"Williamsburg city, Virginia",41236.0
2009,Virginia,"Winchester city, Virginia",44708.0
2009,District of Columbia,"District of Columbia, District of Columbia",56519.0
2010,Maryland,"Allegany County, Maryland",37747.0
2010,Maryland,"Anne Arundel County, Maryland",83456.0
2010,Maryland,"Baltimore County, Maryland",63959.0
2010,Maryland,"Calvert County, Maryland",90838.0
2010,Maryland,"Caroline County, Maryland",58799.0
2010,Maryland,"Carroll County, Maryland",81621.0
2010,Maryland,"Cecil County, Maryland",64886.0
2010,Maryland,"Charles County, Maryland",88825.0
2010,Maryland,"Dorchester County, Maryland",45151.0
2010,Maryland,"Frederick County, Maryland",81686.0
2010,Maryland,"Garrett County, Maryland",45760.0
2010,Maryland,"Harford County, Maryland",77010.0
2010,Maryland,"Howard County, Maryland",103273.0
2010,Maryland,"Kent County, Maryland",50141.0
2010,Maryland,"Montgomery County, Maryland",93373.0
2010,Maryland,"Prince George's County, Maryland",71260.0
2010,Maryland,"Queen Anne's County, Maryland",81096.0
2010,Maryland,"St. Mary's County, Maryland",80053.0
2010,Maryland,"Somerset County, Maryland",42443.0
2010,Maryland,"Talbot County, Maryland",63017.0
2010,Maryland,"Washington County, Maryland",52994.0
2010,Maryland,"Wicomico County, Maryland",50752.0
2010,Maryland,"Worcester County, Maryland",55487.0
2010,Maryland,"Baltimore city, Maryland",39386.0
2010,Virginia,"Accomack County, Virginia",41372.0
2010,Virginia,"Albemarle County, Virginia",64847.0
2010,Virginia,"Alleghany County, Virginia",43160.0
2010,Virginia,"Amelia County, Virginia",50135.0
2010,Virginia,"Amherst County, Virginia",44757.0
2010,Virginia,"Appomattox County, Virginia",49224.0
2010,Virginia,"Arlington County, Virginia",94880.0
2010,Virginia,"Augusta County, Virginia",50612.0
2010,Virginia,"Bath County, Virginia",50589.0
2010,Virginia,"Bedford County, Virginia",54110.0
2010,Virginia,"Bland County, Virginia",41552.0
2010,Virginia,"Botetourt County, Virginia",64724.0
2010,Virginia,"Brunswick County, Virginia",35184.0
2010,Virginia,"Buchanan County, Virginia",29183.0
2010,Virginia,"Buckingham County, Virginia",34720.0
2010,Virginia,"Campbell County, Virginia",43478.0
2010,Virginia,"Caroline County, Virginia",57690.0
2010,Virginia,"Carroll County, Virginia",36142.0
2010,Virginia,"Charles City County, Virginia",46337.0
2010,Virginia,"Charlotte County, Virginia",34881.0
2010,Virginia,"Chesterfield County, Virginia",71321.0
2010,Virginia,"Clarke County, Virginia",73244.0
2010,Virginia,"Craig County, Virginia",51291.0
2010,Virginia,"Culpeper County, Virginia",65132.0
2010,Virginia,"Cumberland County, Virginia",40143.0
2010,Virginia,"Dickenson County, Virginia",29080.0
2010,Virginia,"Dinwiddie County, Virginia",51459.0
2010,Virginia,"Essex County, Virginia",46235.0
2010,Virginia,"Fairfax County, Virginia",105416.0
2010,Virginia,"Fauquier County, Virginia",83877.0
2010,Virginia,"Floyd County, Virginia",42044.0
2010,Virginia,"Fluvanna County, Virginia",68223.0
2010,Virginia,"Franklin County, Virginia",45555.0
2010,Virginia,"Frederick County, Virginia",61973.0
2010,Virginia,"Giles County, Virginia",41186.0
2010,Virginia,"Gloucester County, Virginia",59331.0
2010,Virginia,"Goochland County, Virginia",79574.0
2010,Virginia,"Grayson County, Virginia",32178.0
2010,Virginia,"Greene County, Virginia",54307.0
2010,Virginia,"Greensville County, Virginia",38574.0
