BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
199601,19,1200,199601,19,1800,2032685,5543241,NEW JERSEY,34,1996,January,Flash Flood,C,11,CUMBERLAND,PHI,19-JAN-96 12:00:00,EST,19-JAN-96 18:00:00,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COUNTYWIDE,NA,NA,COUNTYWIDE,NA,NA,NA,NA,NA,NA,PDC
199601,19,1200,199601,19,1900,2032683,5543239,NEW JERSEY,34,1996,January,Flash Flood,C,15,GLOUCESTER,PHI,19-JAN-96 12:00:00,EST,19-JAN-96 19:00:00,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COUNTYWIDE,NA,NA,COUNTYWIDE,NA,NA,NA,NA,NA,NA,PDC
199601,19,1200,199601,19,1900,2032684,5543240,NEW JERSEY,34,1996,January,Flash Flood,C,33,SALEM,PHI,19-JAN-96 12:00:00,EST,19-JAN-96 19:00:00,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COUNTYWIDE,NA,NA,COUNTYWIDE,NA,NA,NA,NA,NA,NA,PDC
199601,27,1700,199601,28,100,2032692,5543271,NEW JERSEY,34,1996,January,Flash Flood,C,21,MERCER,PHI,27-JAN-96 17:00:00,EST,28-JAN-96 01:00:00,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COUNTYWIDE,NA,NA,COUNTYWIDE,NA,NA,NA,NA,Another day of heavy rain caused the flash flooding of streams within Mercer County for the second time this month.  Both Nottingham Way and the Princeton Pike were closed.  The Assunpink Creek in Trenton crested at 7.8 feet at 6 p.m. on the 27th.  Flood Stage is 7 feet.,NA,PDC
199601,19,1200,199601,19,1900,2032673,5543229,NEW JERSEY,34,1996,January,Flash Flood,C,37,SUSSEX,PHI,19-JAN-96 12:00:00,EST,19-JAN-96 19:00:00,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COUNTYWIDE,NA,NA,COUNTYWIDE,NA,NA,NA,NA,NA,NA,PDC
199601,19,1200,199601,19,1900,2032674,5543230,NEW JERSEY,34,1996,January,Flash Flood,C,41,WARREN,PHI,19-JAN-96 12:00:00,EST,19-JAN-96 19:00:00,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COUNTYWIDE,NA,NA,COUNTYWIDE,NA,NA,NA,NA,NA,NA,PDC
199601,19,1200,199601,19,1900,2032675,5543231,NEW JERSEY,34,1996,January,Flash Flood,C,27,MORRIS,PHI,19-JAN-96 12:00:00,EST,19-JAN-96 19:00:00,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COUNTYWIDE,NA,NA,COUNTYWIDE,NA,NA,NA,NA,NA,NA,PDC
199601,19,1200,199601,19,1900,2032676,5543232,NEW JERSEY,34,1996,January,Flash Flood,C,19,HUNTERDON,PHI,19-JAN-96 12:00:00,EST,19-JAN-96 19:00:00,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COUNTYWIDE,NA,NA,COUNTYWIDE,NA,NA,NA,NA,NA,NA,PDC
199601,19,1300,199601,19,1900,2032677,5543233,NEW JERSEY,34,1996,January,Flash Flood,C,35,SOMERSET,PHI,19-JAN-96 13:00:00,EST,19-JAN-96 19:00:00,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COUNTYWIDE,NA,NA,COUNTYWIDE,NA,NA,NA,NA,"The combination of melting snow from the previous week's record breaking storms, unseasonably warm temperatures and an additional one to two inches of rain caused the flash flooding of almost every ungaged stream as well as severe urban flooding.  By the early afternoon on the 19th stranded motorists were rescued in almost every county.  Many roads were closed.  Above normal tides compounded the problem by slowing the release of water by inland streams.  While the flashier type flooding started to abate during the early evening of the 19th, larger streams and rivers continued to rise and flooding continued along some of them until the 21st. No serious injuries were reported.  Damage estimates from all the flooding are listed in the next entry.In Gloucester County, 15 families were evacuated from the Willow Trailer Park by boat in West Deptford after the Woodbury Creek overflowed.  In Salem County, the heavy rain caused a cellar to collapse in a Woodstown Road home.  In Cumberland County, the Cohansey River flooded in Bridgeton behind city hall.  Flooding was also reported along the Maurice River.  In Camden County, flooding along the Cooper River forced the closure of the Admiral Wilson Boulevard.  In Burlington County several homes along the Rancocas Creek were evacuated in Mount Laurel.   Above normal tides along the Delaware River and Bay contributed to the problem in the latter three counties.  Also in Burlington County the North Branch of the Rancocas Creek flooded in Pemberton forcing the evacuation of one family and flooding along the South Branch of the Rancocas Creek forced the voluntary evacuations of several other families in Southampton.  In Mercer County flooding along the Stony Brook resulted in fourteen water rescues including six children in Princeton.  In Monmouth County creek flooding caused several road closures in Freehold.  In Somerset County, one of the most dramatic rescues occurred at 2 p.m. on the 19th as a father and son were recovered from the top of their minivan that was stuck in the flooded Lamington River.  In Middlesex County U.S. Route 1 was closed in Woodbridge.  In Warren County a mudslide closed County Road 609 in Knowlton. Flash flooding of a nearby stream in Allamuchy forced the evacuation of a school.  In Hunterdon County, a Lambertville Public School was evacuated at 2 p.m. when flooding from a nearby creek started inundating the building. In Sussex County another mudslide destroyed one home and damaged the two adjoining ones in Sparta.",NA,PDC
199601,19,1300,199601,19,1900,2032678,5543234,NEW JERSEY,34,1996,January,Flash Flood,C,23,MIDDLESEX,PHI,19-JAN-96 13:00:00,EST,19-JAN-96 19:00:00,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COUNTYWIDE,NA,NA,COUNTYWIDE,NA,NA,NA,NA,NA,NA,PDC
