state,county,year,total_road_km,area_km2,road_density_km_per_km2
VA,accomack,2011,3892.905088,1456.254844,2.673230654
VA,accomack,2012,3891.45311,1456.254844,2.672233591
VA,accomack,2013,3885.52855,1456.254844,2.668165237
VA,accomack,2014,3906.398989,1456.254844,2.682496821
VA,accomack,2015,3906.25463,1456.254844,2.682397691
VA,accomack,2016,3906.493983,1456.254844,2.682562053
VA,accomack,2017,3879.733202,1456.254844,2.664185612
VA,accomack,2018,3839.358338,1456.254844,2.636460476
VA,accomack,2019,3836.446113,1456.254844,2.634460671
VA,accomack,2020,3835.048537,1456.254844,2.633500966
VA,accomack,2021,3835.048537,1456.254844,2.633500966
VA,accomack,2022,3835.048537,1456.254844,2.633500966
VA,accomack,2023,3834.656471,1456.254844,2.633231737
VA,albemarle,2011,6849.399827,1880.251277,3.64281089
VA,albemarle,2012,6848.621604,1880.251277,3.642396996
VA,albemarle,2013,6846.226599,1880.251277,3.641123228
VA,albemarle,2014,6903.902092,1880.251277,3.671797581
VA,albemarle,2015,6903.531114,1880.251277,3.671600279
VA,albemarle,2016,6902.524023,1880.251277,3.671064664
VA,albemarle,2017,6900.981956,1880.251277,3.670244525
VA,albemarle,2018,6867.167611,1880.251277,3.652260575
VA,albemarle,2019,6867.260307,1880.251277,3.652309875
VA,albemarle,2020,6831.145422,1880.251277,3.633102397
VA,albemarle,2021,6831.145422,1880.251277,3.633102397
VA,albemarle,2022,6831.696209,1880.251277,3.63339533
VA,albemarle,2023,6831.667819,1880.251277,3.633380231
VA,alexandria,2011,577.5187698,39.92555115,14.46489161
VA,alexandria,2012,623.4522418,39.92555115,15.6153697
VA,alexandria,2013,663.9836076,39.92555115,16.63054331
VA,alexandria,2014,680.0973301,39.92555115,17.03413755
VA,alexandria,2015,679.9433684,39.92555115,17.03028133
VA,alexandria,2016,679.9563055,39.92555115,17.03060536
VA,alexandria,2017,632.4857545,39.92555115,15.84162864
VA,alexandria,2018,634.52354,39.92555115,15.89266827
VA,alexandria,2019,644.622625,39.92555115,16.14561619
VA,alexandria,2020,645.0575971,39.92555115,16.15651077
VA,alexandria,2021,645.0575971,39.92555115,16.15651077
VA,alexandria,2022,644.9884647,39.92555115,16.15477924
VA,alexandria,2023,644.9884647,39.92555115,16.15477924
MD,allegany,2011,3847.03709,1108.072538,3.471827844
MD,allegany,2012,3761.483372,1108.072538,3.394618352
MD,allegany,2013,3755.703204,1108.072538,3.389401935
MD,allegany,2014,3755.655552,1108.072538,3.389358931
MD,allegany,2015,3754.273685,1108.072538,3.388111841
MD,allegany,2016,3746.090351,1108.072538,3.380726643
MD,allegany,2017,3723.221436,1108.072538,3.36008818
MD,allegany,2018,3568.913611,1108.072538,3.220830306
MD,allegany,2019,3568.370794,1108.072538,3.220340431
MD,allegany,2020,3548.575272,1108.072538,3.202475606
MD,allegany,2021,3548.575272,1108.072538,3.202475606
