BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
199601,19,430,199601,19,600,2403511,5542488,VIRGINIA,51,1996,January,Flash Flood,C,197,WYTHE,RNK,19-JAN-96 04:30:00,EST,19-JAN-96 06:00:00,0,0,0,0,.06M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COUNTYWIDE,NA,NA,COUNTYWIDE,NA,NA,NA,NA,NA,NA,PDC
199601,19,615,199601,19,830,2403514,5542501,VIRGINIA,51,1996,January,Flash Flood,C,31,CAMPBELL,RNK,19-JAN-96 06:15:00,EST,19-JAN-96 08:30:00,0,0,0,0,10K,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LYNCHBURG,NA,NA,LYNCHBURG,NA,NA,NA,NA,NA,NA,PDC
199601,19,350,199601,19,500,2029345,5542284,VIRGINIA,51,1996,January,Flash Flood,C,185,TAZEWELL,RNK,19-JAN-96 03:50:00,EST,19-JAN-96 05:00:00,0,0,0,0,.04M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COUNTYWIDE,NA,NA,COUNTYWIDE,NA,NA,NA,NA,NA,NA,PDC
199601,19,245,199601,19,530,2029340,5542277,VIRGINIA,51,1996,January,Flash Flood,C,35,CARROLL,RNK,19-JAN-96 02:45:00,EST,19-JAN-96 05:30:00,0,0,0,0,.01M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GALAX,NA,NA,GALAX,NA,NA,NA,NA,NA,NA,PDC
199601,19,300,199601,19,915,1001454,5542278,VIRGINIA,51,1996,January,Flash Flood,C,45,CRAIG,RNK,19-JAN-96 03:00:00,EST,19-JAN-96 09:15:00,0,0,0,0,.15M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COUNTYWIDE,NA,NA,COUNTYWIDE,NA,NA,NA,NA,NA,NA,PDC
199601,19,315,199601,19,600,2029341,5542279,VIRGINIA,51,1996,January,Flash Flood,C,155,PULASKI,RNK,19-JAN-96 03:15:00,EST,19-JAN-96 06:00:00,0,0,0,0,.05M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COUNTYWIDE,NA,NA,COUNTYWIDE,NA,NA,NA,NA,NA,NA,PDC
199601,19,330,199601,19,730,2029342,5542280,VIRGINIA,51,1996,January,Flash Flood,C,161,ROANOKE,RNK,19-JAN-96 03:30:00,EST,19-JAN-96 07:30:00,0,0,0,0,.03M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COUNTYWIDE,NA,NA,COUNTYWIDE,NA,NA,NA,NA,NA,NA,PDC
199601,19,330,199601,19,800,2029343,5542281,VIRGINIA,51,1996,January,Flash Flood,C,121,MONTGOMERY,RNK,19-JAN-96 03:30:00,EST,19-JAN-96 08:00:00,0,0,0,0,.03M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COUNTYWIDE,NA,NA,COUNTYWIDE,NA,NA,NA,NA,NA,NA,PDC
199601,19,1100,199601,19,1400,2403631,5541107,VIRGINIA,51,1996,January,Flash Flood,C,13,ARLINGTON,LWX,19-JAN-96 11:00:00,EST,19-JAN-96 14:00:00,0,0,0,0,3K,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALL,NA,NA,ALL,NA,NA,NA,NA,"An unusually intense squall line, feeding on an unseasonably warm moist tropical air mass, dumped an estimated 1.5 to 2.5 inches of rain in a two-hour period during the mid and late morning of the 19th, causing widespread flash flooding.  The rain fell on oversaturated soil, a result of the previous night's rapid snow melt.  During the overnight hours, the remaining water-logged snow pack of 3 to 8 inches was eaten away by strong southeasterly winds which carried low 60s temperatures and near 100 percent relative humidity into the region.Prior to the onset of heavy rain, numerous creeks and streams were near bank full due to the rapid snow melt.  Minor flash flooding began at most locations in the piedmont prior to the squall line; the more serious flooding was associated with the line's passage from west to east, between 0900 and 1130EST.In Orange Co, as in many other counties, schools were closed early due to the continued flood threat.  One school reported damage froma leaking roof.  In Stafford Co, four roads were closed early due to high water.  In Fairfax Co, several automobiles were swept off area roadways inundated by raging creeks and streams.  One of the more prone locations was along state route 7 near the Difficult Run (just south of Great Falls).  Three persons were rescued from stranded vehicles between 1000 and 1200EST.  Two others escaped.  No injuries were reported, but all 5 persons were treated at the scene for hypothermia.  The combination of flooding rains, gusty winds, and lightning knocked out power to around 8000 Virginia Power customers in the Washington, DC suburbs.After the storm and associated cold front passed, gusty northwest winds 35 to 40 mph blew down a few trees rendered unstable by waterlogged soil.  A 100-foot tree fell inn Culpeper Co, near the Rappahannock Co line.  Numerous creeks and streams remained out of their banks well into the evening, even as temperatures plummeted into the upper teens.",NA,PDC
199601,19,615,199601,19,830,2029352,5542502,VIRGINIA,51,1996,January,Flash Flood,C,31,CAMPBELL,RNK,19-JAN-96 06:15:00,EST,19-JAN-96 08:30:00,0,0,0,0,60K,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALTAVISTA,NA,NA,ALTAVISTA,NA,NA,NA,NA,NA,NA,PDC
199601,19,545,199601,19,800,1001470,5542491,VIRGINIA,51,1996,January,Flash Flood,C,143,PITTSYLVANIA,RNK,19-JAN-96 05:45:00,EST,19-JAN-96 08:00:00,0,0,0,0,50K,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COUNTYWIDE,NA,NA,COUNTYWIDE,NA,NA,NA,NA,NA,NA,PDC
199601,19,400,199601,19,1200,1001768,5541094,VIRGINIA,51,1996,January,Flash Flood,C,91,HIGHLAND,LWX,19-JAN-96 04:00:00,EST,19-JAN-96 12:00:00,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALL,NA,NA,ALL,NA,NA,NA,NA,NA,NA,PDC
199601,27,115,199601,27,500,2403520,5542519,VIRGINIA,51,1996,January,Flash Flood,C,185,TAZEWELL,RNK,27-JAN-96 01:15:00,EST,27-JAN-96 05:00:00,0,0,0,0,.2M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COUNTYWIDE,NA,NA,COUNTYWIDE,NA,NA,NA,NA,NA,NA,PDC
199601,27,405,199601,27,600,2403521,5542522,VIRGINIA,51,1996,January,Flash Flood,C,163,ROCKBRIDGE,RNK,27-JAN-96 04:05:00,EST,27-JAN-96 06:00:00,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GLASGOW,NA,NA,GLASGOW,NA,NA,NA,NA,NA,NA,PDC
199601,19,400,199601,19,800,2403510,5542476,VIRGINIA,51,1996,January,Flash Flood,C,173,SMYTH,RNK,19-JAN-96 04:00:00,EST,19-JAN-96 08:00:00,0,0,0,0,.25M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COUNTYWIDE,NA,NA,COUNTYWIDE,NA,NA,NA,NA,NA,NA,PDC
199601,27,800,199601,27,900,2029521,5539169,VIRGINIA,51,1996,January,Flash Flood,C,157,RAPPAHANNOCK,LWX,27-JAN-96 08:00:00,EST,27-JAN-96 09:00:00,0,0,0,0,2K,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WESTERN,NA,NA,WESTERN,NA,NA,NA,NA,"Isolated flash flooding was reported in western Virginia early on the 27th.  The most serious flooding occurred in southern Augusta Co, where high water was reported in low-lying areas, and 15 secondary roads were closed.  In Rappahannock Co, the Thornton River was out of it's banks and covered a low-water bridge, forcing one road closure.",NA,PDC
199601,27,300,199601,27,600,1001487,5542520,VIRGINIA,51,1996,January,Flash Flood,C,21,BLAND,RNK,27-JAN-96 03:00:00,EST,27-JAN-96 06:00:00,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COUNTYWIDE,NA,NA,COUNTYWIDE,NA,NA,NA,NA,NA,NA,PDC
199601,27,400,199601,27,540,1001488,5542521,VIRGINIA,51,1996,January,Flash Flood,C,155,PULASKI,RNK,27-JAN-96 04:00:00,EST,27-JAN-96 05:40:00,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COUNTYWIDE,NA,NA,COUNTYWIDE,NA,NA,NA,NA,NA,NA,PDC
199601,27,500,199601,27,630,2029356,5542523,VIRGINIA,51,1996,January,Flash Flood,C,71,GILES,RNK,27-JAN-96 05:00:00,EST,27-JAN-96 06:30:00,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MAYBROOK,NA,NA,MAYBROOK,NA,NA,NA,NA,NA,NA,PDC
199601,19,1000,199601,19,1400,2403630,5541106,VIRGINIA,51,1996,January,Flash Flood,C,177,SPOTSYLVANIA,LWX,19-JAN-96 10:00:00,EST,19-JAN-96 14:00:00,0,0,0,0,3K,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALL,NA,NA,ALL,NA,NA,NA,NA,NA,NA,PDC
199601,27,500,199601,27,630,2029357,5542524,VIRGINIA,51,1996,January,Flash Flood,C,71,GILES,RNK,27-JAN-96 05:00:00,EST,27-JAN-96 06:30:00,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,N,NARROWS,2,N,NARROWS,NA,NA,NA,NA,NA,NA,PDC
199601,19,2000,199601,20,900,1000154,5536433,VIRGINIA,51,1996,January,Flash Flood,C,195,WISE,MRX,19-JAN-96 20:00:00,EST,20-JAN-96 09:00:00,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COUNTYWIDE,NA,NA,COUNTYWIDE,NA,NA,NA,NA,"Two to over three inches of rain Friday night into Saturday morning combined with melting snow resulted in flooded roads, homes and farmlands.",NA,PDC
199606,19,1900,199606,19,2100,2040823,5561003,VIRGINIA,51,1996,June,Flash Flood,C,91,HIGHLAND,LWX,19-JUN-96 19:00:00,EST,19-JUN-96 21:00:00,0,0,0,0,20K,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MONTEREY,NA,NA,MONTEREY,NA,NA,NA,NA,"Redeveloping thunderstorms produced several hours of moderate to heavy rainfall in the central Shenandoah Valley, flooding and/or closing numerous roads in the area during the afternoon and evening of the 19th.  In Rockingham Co, rains flooded and closed state route 33 west of Harrisonburg.  Portions of other nearby roads were washed out.  Later that evening, other state and local roads flooded.  In Augusta Co, state route 254 was flooded between Waynesboro and Staunton.  Two local routes (691 and 692) near Batesville (Albemarle Co) were under high standing water.  Other flooding was reported near Charlottesville.  Similar conditions were found in portions of Orange Co, and creeks spilled out of their banks near Monterey (Highland Co).",NA,PDC
199606,20,1430,199606,20,1500,2040824,5561004,VIRGINIA,51,1996,June,Flash Flood,C,69,FREDERICK,LWX,20-JUN-96 14:30:00,EST,20-JUN-96 15:00:00,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WINCHESTER,NA,NA,WINCHESTER,NA,NA,NA,NA,"An afternoon thunderstorm produced over an inch of rain, causing Cameron and Kent streets to flood in the city of Winchester, with over a foot of water on the road.",NA,PDC
199601,19,500,199601,19,1300,2403621,5541096,VIRGINIA,51,1996,January,Flash Flood,C,69,FREDERICK,LWX,19-JAN-96 05:00:00,EST,19-JAN-96 13:00:00,0,0,0,0,2M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALL,NA,NA,ALL,NA,NA,NA,NA,NA,NA,PDC
